t,cum_regret_linucb_baseline_mean,cum_regret_linucb_baseline_se,cum_regret_alg1_oracle_mean,cum_regret_alg1_oracle_se,cum_regret_fixed_theta_star,cum_regret_fixed_best_bank
1,0.29326042954343917,0.0,0.274376083344125,0.0,0.00891466001055452,0.00891466001055452
2,0.3186970807964284,0.0,0.7820059743669608,0.0,0.00891466001055452,0.00891466001055452
3,0.44408803376200373,0.0,1.235977409776192,0.0,0.013663833118910285,0.013663833118910285
4,1.017828130951526,0.0,1.4611256583823007,0.0,0.01617256063329353,0.01617256063329353
5,1.0856582512570436,0.0,1.8008320408923058,0.0,0.02318315436961782,0.02318315436961782
6,1.248991538270975,0.0,2.14955359556617,0.0,0.038706831233814964,0.038706831233814964
7,1.2865585117922511,0.0,2.1756413452672105,0.0,0.038706831233814964,0.038706831233814964
8,1.4222517024719088,0.0,2.1997886829608353,0.0,0.038706831233814964,0.038706831233814964
9,1.4233189535607726,0.0,2.5751175170487173,0.0,0.038706831233814964,0.038706831233814964
10,1.5949802576367667,0.0,2.656060364854457,0.0,0.04164211204463769,0.04164211204463769
11,1.8610330177547187,0.0,2.9348195224956077,0.0,0.04956200906015257,0.04956200906015257
12,1.9433547335427455,0.0,3.3399944462083475,0.0,0.04956200906015257,0.04956200906015257
13,1.99667555823568,0.0,3.4015491424622293,0.0,0.07251981518382883,0.07251981518382883
14,2.382263668548403,0.0,3.4563483411907527,0.0,0.07251981518382883,0.07251981518382883
15,2.403208890082066,0.0,3.891712865812411,0.0,0.0738700404979526,0.0738700404979526
16,2.8670712651248897,0.0,4.06414530874337,0.0,0.0738700404979526,0.0738700404979526
17,2.916233978464386,0.0,4.586928184956766,0.0,0.07705955211385423,0.07705955211385423
18,2.960018448192796,0.0,4.82893693386283,0.0,0.07705955211385423,0.07705955211385423
19,3.0312580579155792,0.0,5.337330569997228,0.0,0.08854667233607388,0.08854667233607388
20,3.2286857606657966,0.0,5.504032676172054,0.0,0.10067325035199765,0.10067325035199765
21,3.366739744459312,0.0,5.560626171758609,0.0,0.10067325035199765,0.10067325035199765
22,3.47669462186493,0.0,5.871755422840553,0.0,0.10067325035199765,0.10067325035199765
23,3.4937242217730446,0.0,6.080849339887698,0.0,0.10657591766819802,0.10657591766819802
24,3.8930022298273057,0.0,6.09017326106006,0.0,0.10657591766819802,0.10657591766819802
25,3.9332857836764505,0.0,6.295133279098379,0.0,0.10657591766819802,0.10657591766819802
26,4.1993209643217995,0.0,6.540977917402907,0.0,0.10657591766819802,0.10657591766819802
27,4.537887876159626,0.0,6.810589963619502,0.0,0.10657591766819802,0.10657591766819802
28,4.548141812324363,0.0,7.4139943410635905,0.0,0.10657591766819802,0.10657591766819802
29,4.645622339750409,0.0,7.741061546660513,0.0,0.10657591766819802,0.10657591766819802
30,4.652369920317002,0.0,7.964765272134809,0.0,0.11332349823479188,0.11332349823479188
31,4.953194592595392,0.0,8.209703542143904,0.0,0.11332349823479188,0.11332349823479188
32,5.068849907269419,0.0,8.4184432348523,0.0,0.12545402059354166,0.12545402059354166
33,5.148902323830566,0.0,8.943360602968731,0.0,0.12545402059354166,0.12545402059354166
34,5.169852587410603,0.0,9.29328845761571,0.0,0.12545402059354166,0.12545402059354166
35,5.2237129199452195,0.0,9.304656792947174,0.0,0.12545402059354166,0.12545402059354166
36,5.3538901322119985,0.0,9.401484561952287,0.0,0.12545402059354166,0.12545402059354166
37,5.3710292527741315,0.0,9.597487839179655,0.0,0.1305027920634752,0.1305027920634752
38,5.385511233171252,0.0,9.663383584123252,0.0,0.13061580221680963,0.13061580221680963
39,5.410093896926006,0.0,9.824944974366906,0.0,0.13061580221680963,0.13061580221680963
40,5.669813328907376,0.0,10.06182045869104,0.0,0.13061580221680963,0.13061580221680963
41,5.727174493879156,0.0,10.576825802405338,0.0,0.13469006325086724,0.13469006325086724
42,6.104824568852449,0.0,10.680199163089373,0.0,0.13469006325086724,0.13469006325086724
43,6.142276464537304,0.0,10.717651058774226,0.0,0.1351691099909607,0.1351691099909607
44,6.508063767446263,0.0,10.83697851321557,0.0,0.13973154276639704,0.13973154276639704
45,6.760606753169348,0.0,11.215213492804528,0.0,0.13973154276639704,0.13973154276639704
46,7.121882900895089,0.0,11.281061120992304,0.0,0.13973154276639704,0.13973154276639704
47,7.181863702729388,0.0,11.350249280102291,0.0,0.14093687823316942,0.14093687823316942
48,7.42422003578523,0.0,11.500720186020787,0.0,0.14093687823316942,0.14093687823316942
49,7.452484512884076,0.0,11.510753815479625,0.0,0.14093687823316942,0.14093687823316942
50,7.525944266782754,0.0,11.607999658635064,0.0,0.14093687823316942,0.14093687823316942
