t,cum_regret_linucb,cum_regret_alg1_oracle_bank,cum_regret_alg1_random_bank
1,0.2949113055442908,0.28052726421161633,0.16350202025890326
2,0.345035096484556,0.5613599309885441,0.4830342088318714
3,0.43248222354567323,1.0841183240875023,1.0057926019308296
4,0.5040749410068758,1.6815685584153064,1.4136004550693162
5,0.910300914530511,2.1592434520484023,1.7825066115891497
6,0.9941980545842447,2.177376805343291,1.9295827717773135
7,1.0633914052483613,2.437673203508708,2.1898791699427305
8,1.142892869474455,2.691645099526178,2.233243603856421
9,1.1503248485570527,3.0893031763170926,2.5363020790448596
10,1.1613707975725829,3.169938772971223,2.8677568801694973
11,1.4566988418442943,3.4304493293747753,2.948619622617898
12,1.4566988418442943,3.6195721940926893,3.0953526220137
13,1.481750775388722,4.0994635677404565,3.642377816373109
14,1.5659533042904168,4.282327518690793,3.8252417673234453
15,1.6105473506685617,4.383901961315733,3.8698358137015902
16,1.9633728937473367,4.5977159163708,3.938256306717892
17,2.020097422308804,5.051844250625165,4.306586341663488
18,2.401505906549414,5.4091724197397575,4.658978070152485
19,2.4381892179498132,5.445855731140157,5.18304141528902
20,2.6457701788709946,5.498544147411256,5.588265004937495
21,2.8253380305759683,5.6485687367824005,5.69942624792666
22,2.9307461389791487,5.794340054261896,5.832231614263575
23,2.9773988122291275,5.8230141165048686,5.847138560442163
24,3.0200763303668414,5.865691634642583,5.881597583438667
25,3.085892195814403,6.040437175318294,5.91549552713824
26,3.331752887064923,6.1969267941706985,5.99481701321791
27,3.667918416116656,6.576832905803212,6.001570751357342
28,3.674595462639843,6.675089919130711,6.075224148436611
29,3.6965011276536877,7.352584460281469,6.402282015213077
30,3.7349549448382975,7.732769803517338,6.909151035170207
31,3.764171112002593,7.761985970681634,6.92100524517277
32,3.872353114364492,7.843419791133605,7.0405146776187575
33,3.936618774870482,7.90657711770791,7.464098565804269
34,3.9431414667803018,8.006422579981091,7.705748746843591
35,4.129911845452027,8.022172480883581,7.823801034666387
36,4.275041269414744,8.139609447877646,7.979839122817778
37,4.308606836191489,8.545172788247813,8.047878051519485
38,4.330409799423061,8.573547957441173,8.319835453315184
39,4.361410500918019,8.837566158385743,8.390366135429625
40,4.477021243905687,8.949913890680588,8.525466467729993
41,4.504689617547052,9.335970270157205,8.95464109081055
42,4.845810322179448,9.722870620645542,9.054343194908785
43,4.883375581023598,9.807068423505111,9.12889522446107
44,4.996307625359466,10.043475952802098,9.399639599834574
45,5.061502900749751,10.245608538539699,9.428434538563657
46,5.084367977899555,10.31535113025513,9.498177130279089
47,5.144058139105169,10.362130931584822,9.909433492115404
48,5.298540979580665,10.403067118348307,9.969962055760636
49,5.370496486678007,10.485311407503312,10.183673801597052
50,5.3857679360359265,10.528570380647823,10.298099392019227
51,5.582027989897645,10.546636179553525,10.476025148125858
52,5.620208785167952,10.851363918448984,10.491832778195915
53,5.790987768608936,10.880632586889671,10.521101446636603
54,6.025916685513195,11.128543258720372,10.53831530602833
55,6.074817808129693,11.481072228847339,10.575869890823705
56,6.091384383534882,11.497638804252528,10.592436466228895
57,6.146314904988424,11.529695100465876,10.681903476988813
58,6.333985481870815,11.608115101854104,10.891368004928188
59,6.535367368094714,11.87165332823052,11.024507974004424
60,6.562663134525415,12.115617478246634,11.100258293172184
61,6.671062781345743,12.522512207942508,11.321359659189831
62,6.706911421329286,12.576799584338502,11.79007900832555
63,6.794946701252294,12.615533988209476,11.814015860849807
64,6.876021117949691,12.746315354720112,12.023798029659995
65,6.903018299906449,12.792927870319733,12.045163915854703
66,6.924640478542838,12.847287205439413,12.056079310893612
67,6.927716180132822,13.027631008574906,12.07966665016431
68,6.927716180132822,13.328147705922298,12.148438605593759
69,6.930533074398503,13.648448908756773,12.291047560622424
70,6.930533074398503,14.12287761532023,12.56599430475168
71,6.945542232660975,14.581233666073713,12.72819115829872
72,6.980092684557103,15.220090437773269,12.827799975627036
73,7.071935484650167,15.550083198695418,13.023541575287418
74,7.121331476315605,15.976962550586187,13.101253649663034
75,7.138498392251162,16.20065272877836,13.396456568879557
76,7.196449599525211,16.3004369641513,13.867677768888177
77,7.255704366825355,16.404236237090682,14.121047705155851
78,7.255704366825355,16.456288767605248,14.216184857424327
79,7.320741493045406,16.456288767605248,14.290789402817769
80,7.381661416956227,16.503859158165582,14.319380668657951
81,7.381661416956227,16.658622275574842,14.34193373850779
82,7.381661416956227,16.92118448709334,14.397744084267144
83,7.3993488916202885,17.32514496540566,14.584729312072021
84,7.407783683764872,17.787742109820112,14.821374696309654
85,7.421655910274427,18.340270060973314,14.900915907774277
